Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2007,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,CN,AU,XX,,3,feathers,,Q,O
2007,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CN,GB,XX,1,1,carvings,,Q,O
2007,I,Bucerotidae spp.,Aves,Coraciiformes,Bucerotidae,,CN,GB,XX,,1,carvings,,T,O
2007,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,HK,PH,,,1,live,,T,C
2007,I,Ariocarpus agavoides,,Caryophyllales,Cactaceae,Ariocarpus,MO,US,,,10,seeds,,T,D
2007,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,HK,TH,,,1,live,,T,D
2007,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,MO,US,,,10,seeds,,T,D
2007,I,Ariocarpus kotschoubeyanus,,Caryophyllales,Cactaceae,Ariocarpus,HK,TH,,,1,live,,T,D
2007,I,Ariocarpus kotschoubeyanus,,Caryophyllales,Cactaceae,Ariocarpus,MO,US,,,10,seeds,,T,D
2007,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,HK,TH,,,1,live,,T,D
2007,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,MO,US,,,10,seeds,,T,D
2007,I,Ariocarpus scaphirostris,,Caryophyllales,Cactaceae,Ariocarpus,MO,US,,,10,seeds,,T,D
2007,I,Ariocarpus trigonus,,Caryophyllales,Cactaceae,Ariocarpus,MO,US,,,10,seeds,,T,D
2007,I,Discocactus heptacanthus,,Caryophyllales,Cactaceae,Discocactus,MO,US,,,10,seeds,,T,D
2007,I,Discocactus horstii,,Caryophyllales,Cactaceae,Discocactus,MO,US,,,10,seeds,,T,D
2007,I,Discocactus placentiformis,,Caryophyllales,Cactaceae,Discocactus,MO,US,,,20,seeds,,T,D
2007,I,Discocactus zehntneri,,Caryophyllales,Cactaceae,Discocactus,MO,US,,,10,seeds,,T,D
2007,I,Echinocereus ferreirianus,,Caryophyllales,Cactaceae,Echinocereus,MO,US,,,10,seeds,,T,D
2007,I,Echinocereus schmollii,,Caryophyllales,Cactaceae,Echinocereus,MO,US,,,20,seeds,,T,D
