Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2017,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,US,PE,,3,,feathers,,P,I
2017,I,Acipenser brevirostrum,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,CA,,0.18,,eggs,kg,T,D
2017,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CN,CA,,,4,live,,Z,C
2017,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CN,KR,CN,1,,specimens,,E,C
2017,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,US,CA,,4,,live,,Z,C
2017,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,HK,IT,US,,1,leather products (small),,P,W
2017,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,JP,CN,,4,4,live,,Z,D
2017,I,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,JP,CH,VE,10,,leather products (small),,T,W
2017,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,US,BR,,,30,specimens,g,S,C
2017,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,US,BR,,30,,specimens,g,S,I
2017,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,US,VN,AR,7,38,leather products (small),,T,R
2017,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,GB,CN,GB,,1,bodies,,Q,C
2017,I,Pachypodium baronii,,Gentianales,Apocynaceae,Pachypodium,JP,TH,,,98,live,,T,D
2017,I,Pachypodium decaryi,,Gentianales,Apocynaceae,Pachypodium,JP,TH,,60,60,live,,T,D
2017,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,JP,NL,CL,456,756,live,,T,D
2017,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,JP,NL,,500,500,live,,T,D
2017,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,US,NL,GB,,10,seeds,kg,T,A
2017,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CR,,,200,specimens,,S,W
2017,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,NI,,,54,specimens,,S,W
2017,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,CN,GT,,,4,live,,T,F
2017,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,JP,US,XX,,3,bone carvings,,Q,O
2017,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,JP,US,XX,1,,carvings,,Q,O
2017,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,JP,US,XX,0.5,,ivory carvings,,Q,O
2017,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,US,1,,baleen,,P,W
2017,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,8,,specimens,,S,W
2017,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,GB,XX,18,,bones,,Q,O
2017,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,JP,XX,3,,bone carvings,,Q,O
2017,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,ZA,XX,,50,skins,,S,W
2017,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,ZA,,,23,specimens,,S,W
2017,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,JP,ZZ,,5,,skin pieces,g,S,X
2017,I,Eubalaena japonica,Mammalia,Cetacea,Balaenidae,Eubalaena,JP,ZZ,,20,,skin pieces,g,S,X
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CN,KR,CN,24,,specimens,,E,W
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,NO,,197638,214765,meat,kg,T,W
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,37,,baleen,,S,X
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,16689.38,,derivatives,kg,S,X
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,76896.36,,meat,kg,S,X
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,3,,specimens,kg,S,X
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,540,,specimens,ml,S,X
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,388,,specimens,,S,X
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,,1,,specimens,,S,W
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,GB,,13,,bones,,S,O
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,IS,,100,,meat,g,P,I
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,IS,,1,,meat,kg,P,I
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,IS,,3,,meat,,P,I
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,ZZ,100,,meat,g,P,I
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,XX,1425,,meat,g,P,I
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,,2755,,meat,g,P,I
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,,1.1,,meat,kg,P,I
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,,8,,meat,,P,I
2017,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,XX,XX,300,,meat,g,P,I
2017,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,US,GS,,1,bone pieces,,S,O
2017,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,125,,baleen,,S,X
2017,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,216240.265,,derivatives,kg,S,X
2017,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,903546.08,,meat,kg,S,X
2017,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,45,,skin pieces,g,S,X
2017,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,3615,,specimens,ml,S,X
2017,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,3820,,specimens,,S,X
2017,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,AQ,,10,,skins,g,S,W
2017,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,AQ,,2,,specimens,,S,W
2017,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,XX,74,,skin pieces,,S,W
2017,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FK,,0.008,82,skin pieces,,S,W
2017,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,28,,baleen,,S,X
2017,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,258726.47,,derivatives,kg,S,X
2017,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,1119662.84,,meat,kg,S,X
2017,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,85,,skin pieces,g,S,X
2017,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,5.9,,specimens,kg,S,X
2017,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,1815,,specimens,ml,S,X
