Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2014,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,CN,KR,XX,,4,specimens,,Q,O
2014,I,Agave parviflora,,Liliales,Agavaceae,Agave,CN,US,,,200,seeds,,T,D
2014,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CN,KR,XX,,2,specimens,,Q,O
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CN,KR,XX,,12,specimens,,Q,O
2014,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,CN,US,XX,1,1,baleen,,Q,O
2014,I,Bos mutus,Mammalia,Artiodactyla,Bovidae,Bos,CN,KR,XX,,2,bodies,,Q,O
2014,I,Bovidae spp.,Mammalia,Artiodactyla,Bovidae,,CN,NL,XX,,1,carvings,,T,O
2014,I,Bovidae spp.,Mammalia,Artiodactyla,Bovidae,,HK,NL,XX,1,,carvings,,T,O
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CN,CA,,,1,skins,,P,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CN,CA,,1,,trophies,,P,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CN,XX,,1,,trophies,,P,F
2014,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,CN,KR,XX,,2,specimens,,Q,O
2014,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,CN,FR,MO,,1,carvings,,T,O
2014,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,CN,GB,XX,,1,carvings,,T,O
2014,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,HK,FR,XX,1,,carvings,,T,O
2014,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,HK,GB,,1,,carvings,,,
2014,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,CN,RU,,,1,live,,Q,C
2014,I,Ariocarpus agavoides,,Caryophyllales,Cactaceae,Ariocarpus,CN,MT,,,120,seeds,,T,A
2014,I,Ariocarpus agavoides,,Caryophyllales,Cactaceae,Ariocarpus,CN,US,,,400,seeds,,T,D
2014,I,Ariocarpus bravoanus,,Caryophyllales,Cactaceae,Ariocarpus,CN,MT,,,240,seeds,,T,A
2014,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,CN,MT,,,2200,seeds,,T,A
2014,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,CN,TH,,,1,live,,,D
2014,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,CN,US,,,2,live,,T,I
2014,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,CN,US,,,380,seeds,,T,D
2014,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,HK,TH,,,2,live,,,D
2014,I,Ariocarpus kotschoubeyanus,,Caryophyllales,Cactaceae,Ariocarpus,CN,DE,,,2,live,,T,D
2014,I,Ariocarpus kotschoubeyanus,,Caryophyllales,Cactaceae,Ariocarpus,CN,MT,,,850,seeds,,T,A
2014,I,Ariocarpus kotschoubeyanus,,Caryophyllales,Cactaceae,Ariocarpus,CN,US,,,2470,seeds,,T,D
2014,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,CN,MT,,,5480,seeds,,T,A
2014,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,CN,US,,,460,seeds,,T,D
2014,I,Ariocarpus retusus,,Caryophyllales,Cactaceae,Ariocarpus,HK,TH,,,18,live,,,D
2014,I,Ariocarpus scaphirostris,,Caryophyllales,Cactaceae,Ariocarpus,CN,US,,,20,seeds,,T,D
2014,I,Ariocarpus trigonus,,Caryophyllales,Cactaceae,Ariocarpus,CN,US,,,150,seeds,,T,D
2014,I,Ariocarpus trigonus,,Caryophyllales,Cactaceae,Ariocarpus,HK,TH,,,4,live,,,D
2014,I,Astrophytum asterias,,Caryophyllales,Cactaceae,Astrophytum,CN,MT,,,550,seeds,,T,A
2014,I,Astrophytum asterias,,Caryophyllales,Cactaceae,Astrophytum,CN,TH,,,12,live,,,D
2014,I,Astrophytum asterias,,Caryophyllales,Cactaceae,Astrophytum,CN,US,,,100,seeds,,T,D
2014,I,Astrophytum asterias,,Caryophyllales,Cactaceae,Astrophytum,HK,TH,,,5,live,,,D
2014,I,Coryphantha werdermannii,,Caryophyllales,Cactaceae,Coryphantha,CN,US,,,1700,seeds,,T,D
2014,I,Discocactus bahiensis,,Caryophyllales,Cactaceae,Discocactus,CN,TH,,,4,live,,,D
2014,I,Discocactus heptacanthus,,Caryophyllales,Cactaceae,Discocactus,CN,TH,,,16,live,,,D
2014,I,Echinocereus ferreirianus lindsayi,,Caryophyllales,Cactaceae,Echinocereus,CN,US,,,10,seeds,,T,D
2014,I,Escobaria minima,,Caryophyllales,Cactaceae,Escobaria,CN,US,,,145,seeds,,T,D
2014,I,Escobaria sneedii,,Caryophyllales,Cactaceae,Escobaria,CN,US,,,3060,seeds,,T,D
2014,I,Escobaria sneedii leei,,Caryophyllales,Cactaceae,Escobaria,CN,US,,,20,seeds,,T,D
2014,I,Mammillaria pectinifera,,Caryophyllales,Cactaceae,Mammillaria,CN,MT,,,1100,seeds,,T,A
2014,I,Mammillaria pectinifera,,Caryophyllales,Cactaceae,Mammillaria,CN,US,,,505,seeds,,T,D
2014,I,Obregonia denegrii,,Caryophyllales,Cactaceae,Obregonia,CN,US,,,10,seeds,,T,D
2014,I,Pediocactus bradyi,,Caryophyllales,Cactaceae,Pediocactus,CN,US,,,20,seeds,,T,D
2014,I,Pediocactus bradyi,,Caryophyllales,Cactaceae,Pediocactus,HK,US,,,10,seeds,,T,D
2014,I,Pediocactus bradyi winkleri,,Caryophyllales,Cactaceae,Pediocactus,CN,US,,,40,seeds,,T,D
2014,I,Pediocactus bradyi winkleri,,Caryophyllales,Cactaceae,Pediocactus,HK,US,,,30,seeds,,T,D
2014,I,Pediocactus peeblesianus,,Caryophyllales,Cactaceae,Pediocactus,CN,US,,,30,seeds,,T,D
2014,I,Pediocactus peeblesianus,,Caryophyllales,Cactaceae,Pediocactus,HK,US,,,20,seeds,,T,D
2014,I,Pelecyphora aselliformis,,Caryophyllales,Cactaceae,Pelecyphora,CN,MT,,,2200,seeds,,T,A
2014,I,Pelecyphora aselliformis,,Caryophyllales,Cactaceae,Pelecyphora,CN,US,,,20,seeds,,T,D
2014,I,Pelecyphora strobiliformis,,Caryophyllales,Cactaceae,Pelecyphora,CN,US,,,260,seeds,,T,D
2014,I,Sclerocactus brevihamatus tobuschii,,Caryophyllales,Cactaceae,Sclerocactus,CN,US,,,40,seeds,,T,D
2014,I,Sclerocactus erectocentrus,,Caryophyllales,Cactaceae,Sclerocactus,CN,US,,,200,seeds,,T,D
2014,I,Sclerocactus glaucus,,Caryophyllales,Cactaceae,Sclerocactus,CN,US,,,1180,seeds,,T,D
2014,I,Sclerocactus mariposensis,,Caryophyllales,Cactaceae,Sclerocactus,CN,US,,,20,seeds,,T,D
2014,I,Sclerocactus mesae-verdae,,Caryophyllales,Cactaceae,Sclerocactus,CN,US,,,10,seeds,,T,D
2014,I,Sclerocactus papyracanthus,,Caryophyllales,Cactaceae,Sclerocactus,CN,US,,,1120,seeds,,T,D
2014,I,Sclerocactus pubispinus,,Caryophyllales,Cactaceae,Sclerocactus,CN,US,,,600,seeds,,T,D
2014,I,Sclerocactus wrightiae,,Caryophyllales,Cactaceae,Sclerocactus,CN,US,,,40,seeds,,T,D
2014,I,Strombocactus disciformis,,Caryophyllales,Cactaceae,Strombocactus,CN,US,,,1060,seeds,,T,D
2014,I,Turbinicarpus hoferi,,Caryophyllales,Cactaceae,Turbinicarpus,CN,US,,,710,seeds,,T,D
2014,I,Turbinicarpus hybrid,,Caryophyllales,Cactaceae,Turbinicarpus,CN,US,,,340,seeds,,T,D
2014,I,Turbinicarpus laui,,Caryophyllales,Cactaceae,Turbinicarpus,CN,US,,,340,seeds,,T,D
2014,I,Turbinicarpus lophophoroides,,Caryophyllales,Cactaceae,Turbinicarpus,CN,US,,,5210,seeds,,T,D
2014,I,Turbinicarpus pseudomacrochele,,Caryophyllales,Cactaceae,Turbinicarpus,CN,US,,,2210,seeds,,T,D
2014,I,Turbinicarpus pseudopectinatus,,Caryophyllales,Cactaceae,Turbinicarpus,CN,MT,,,550,seeds,,T,A
2014,I,Turbinicarpus pseudopectinatus,,Caryophyllales,Cactaceae,Turbinicarpus,CN,US,,,100,seeds,,T,D
2014,I,Turbinicarpus schmiedickeanus,,Caryophyllales,Cactaceae,Turbinicarpus,CN,US,,,15420,seeds,,T,D
2014,I,Turbinicarpus subterraneus,,Caryophyllales,Cactaceae,Turbinicarpus,CN,US,,,1140,seeds,,T,D
2014,I,Turbinicarpus swobodae,,Caryophyllales,Cactaceae,Turbinicarpus,CN,US,,,4860,seeds,,T,D
2014,I,Turbinicarpus valdezianus,,Caryophyllales,Cactaceae,Turbinicarpus,CN,US,,,5930,seeds,,T,D
2014,I,Turbinicarpus viereckii,,Caryophyllales,Cactaceae,Turbinicarpus,CN,US,,,1405,seeds,,T,D
2014,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,CN,CZ,DE,,1,live,,T,C
2014,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,CN,CZ,DE,1,,live,,Z,C
2014,I,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,CN,CZ,,,3,live,,T,C
