PM,Surname,Post,Date,Reason,Type,Link,Cabinet?
Thatcher,Speed,Defence,18/5/1981,Chose not to resign over opposition to Navy cuts,Sacked,https://en.wikipedia.org/wiki/Keith_Speed,
Thatcher,Fairbairn,Solicitor Gen (Scot),21/01/1982,Handling of a Scottish prosecution,Standards,https://www.margaretthatcher.org/document/104858,
Thatcher,Oppenheim,Trade,05/03/1982,Personal - death of husband,Personal/other,https://www.margaretthatcher.org/document/104871,
Thatcher,Carrington,Foreign Office,05/04/1982,Falklands,Accountability,https://www.margaretthatcher.org/document/104911,Y
Thatcher,Atkins,Lord Privy Seal,05/04/1982,Falklands,Accountability,https://www.margaretthatcher.org/document/104911,Y
Thatcher,Luce,Foreign Office,05/04/1982,Falklands,Accountability,https://www.margaretthatcher.org/document/104911,
Thatcher,Budgen,Commons Whip,08/05/1982,Northern Ireland policy,Disagreement,https://www.margaretthatcher.org/document/122573,
Thatcher,Nott,Defence,6/1/1983,Personal,Personal/other,,Y
Thatcher,Parkinson,Trade and Industry,11/10/1983,Personal - child with former secretary,Personal/other,https://www.margaretthatcher.org/archive/1983cac3.asp,Y
Thatcher,Mansfield,N Ireland Office,12/04/1984,Unclear,Unclear,,
Thatcher,Cockfield,Ch Duchy of Lancaster,11/09/1984,Became European Commissioner,Personal/other,https://www.margaretthatcher.org/document/105744,y
Thatcher,Hogg,Commons Whip,01/10/1984,Unclear,Unclear,,
Thatcher,Eden,Environment,26/03/1985,Ill health,Personal/other,https://www.nytimes.com/1985/08/21/world/nicholas-eden-earl-of-avon-and-former-aide-to-thatcher.html,
Thatcher,Gow,Treasury,16/11/1985,Northern Ireland policy,Disagreement,https://www.margaretthatcher.org/document/106174,
Thatcher,Heseltine,Defence,07/01/1986,Westland affair,Disagreement,https://www.margaretthatcher.org/document/106298,Y
Thatcher,Brittan,Trade and Industry,22/01/1986,Westland affair,Personal/other,https://www.margaretthatcher.org/document/106316,Y
Thatcher,Joseph,Education and Science,21/05/1986,Thought fresh voice needed,Personal/other,https://www.margaretthatcher.org/document/106396,y
Thatcher,Havers,Lord Chancellor,26/10/1987,Ill health,Personal/other,https://www.margaretthatcher.org/document/106953,y
Thatcher,Whitelaw,Lords Leader,10/01/1988,Ill health,Personal/other,https://www.margaretthatcher.org/document/107145,y
Thatcher,Currie,Health,16/12/1988,Salmonella remarks,Personal/other,https://www.margaretthatcher.org/document/107423,
Thatcher,Lawson,Treasury,29/10/1989,Economic policy,Disagreement,https://www.margaretthatcher.org/document/107805,Y
Thatcher,Fowler,Employment,03/01/1990,Spend more time with family,Personal/other,https://www.margaretthatcher.org/document/107986,y
Thatcher,Walker,Welsh Office,04/05/1990,Unclear,Unclear,https://www.theguardian.com/theguardian/2010/jun/23/lord-walker-of-worcester-obituary,y
Thatcher,Ridley,Trade and Industry,13/07/1990,Remarks about Germany and Europe,Standards,https://www.margaretthatcher.org/document/108153,Y
Thatcher,Nicholls,Environment,11/10/1990,Arrest for drink driving,Personal/other,https://www.margaretthatcher.org/document/108215,
Thatcher,Howe,Commons Leader/DPM,01/11/1990,European policy,Disagreement,https://www.margaretthatcher.org/document/108236,Y
Major,Denham,Lords Chief Whip,22/05/1991,Stepped down,Personal/other,https://hansard.parliament.uk/Lords/1991-05-22/debates/73f5cb1f-843c-4393-84f2-da10ea467805/LordDenhamTributes,
Major,Mellor,National Heritage,22/09/1992,Personal - affair,Personal/other,http://news.bbc.co.uk/onthisday/hi/dates/stories/september/24/newsid_2529000/2529115.stm,Y
Major,Forman,Education and Science,11/12/1992,Personal reasons,Personal/other,https://www.independent.co.uk/news/uk/politics/education-minister-quits-1563092.html,
Major,Mates,N Ireland Office,24/06/1993,Links with Asil Nadir,Standards,https://www.independent.co.uk/news/mates-thrown-to-media-wolves-tories-blame-serious-fraud-office-campaign-for-resignation-amid-anger-1493604.html,
Major,Hesketh,Lords Chief Whip,16/09/1993,Unclear,Unclear,https://www.lgcplus.com/ministerial-resignation-and-appointments-house-of-lords/1658241.article,
Major,Yeo,Environment,05/01/1994,Personal - child out of wedlock,Personal/other,https://preview.independent.co.uk/news/uk/the-yeo-resignation-mp-hopes-for-end-to-distressing-intrusions-the-letters-1405144.html,
Major,Caithness,Foreign Office,11/01/1994,Personal - death of wife,Personal/other,https://www.heraldscotland.com/news/12702398.another-blow-for-tories-lord-caithness-resigns-after-wifes-death/,
Major,Brown,Commons Whip,09/05/1994,Personal - alleged homosexual affair,Personal/other,https://www.bbc.co.uk/news/uk-england-36468511,
Major,Smith,N Ireland Office,20/10/1994,Cash for questions,Standards,https://www.theguardian.com/politics/1994/oct/20/conservatives.uk,
Major,Hamilton,Trade and Industry,25/10/1994,Cash for questions,Standards,https://www.theguardian.com/politics/1994/oct/20/conservatives.uk,
Major,Arran,Lords Whip,09/01/1995,Unclear,Unclear,,
Major,Stewart,Scottish Office,08/02/1995,Personal - threatening protesters,Standards,https://www.heraldscotland.com/opinion/14954282.obituary-allan-stewart-scottish-tory-mp-whose-troubles-ended-his-career/,
Major,Wardle,Trade and Industry,11/02/1995,European/Immigration policy,Disagreement,https://www.independent.co.uk/news/junior-minister-resigns-over-immigration-1572609.html,
Major,Hughes,Cabinet Office,06/03/1995,Personal - affair,Personal/other,https://www.heraldscotland.com/news/12541827.minister-admits-affair-and-quits-major-pre-empts-scandal-by-accepting-resignation/,
Major,Redwood,Welsh Office,26/06/1995,Leadership challenge,Disagreement,https://www.independent.co.uk/news/tory-leadership-election-redwoods-resignation-letter-to-john-major-1588470.html,Y
Major,Aitken,Treasury,05/07/1995,Fight libel action,Standards,https://www.heraldscotland.com/news/12099603.Swashbuckling_cavalier_who_fell_on_his_sword/,Y
Major,Hurd,Home Office,05/07/1995,Retirement,Pre-announced,https://www.independent.co.uk/news/the-hurd-resignation-a-broad-vision-darkened-by-politics-1587989.html,y
Major,Baker,Home Office,17/10/1995,Ill health,Personal/other,https://en.wikipedia.org/wiki/Nicholas_Baker_(politician),
Major,Richards,Welsh Office,02/06/1996,Personal - affair,Personal/other,https://www.independent.co.uk/news/welsh-minister-quits-over-sex-scandal-1335266.html,
Major,Heathcoat-Amory,Paymaster General,22/07/1996,European policy,Disagreement,http://www.bbc.co.uk/news/special/politics97/background/pastelec/resign.shtml,
Major,Norris,Transport,23/07/1996,Personal?,Unclear,https://www.independent.co.uk/news/unrepentant-norris-romps-and-tells-1364752.html,
Major,Eggar,Trade and Industry,23/07/1996,Personal?,Unclear,,
Major,Willetts,Paymaster General,11/12/1996,Criticism by Standards and Privileges Cttee,Standards,https://www.independent.co.uk/news/sensation-tory-minister-does-the-decent-thing-1314095.html,
Blair,Foster,Cabinet Office,04/05/1997,Dissatisfaction with junior post,Personal/other,https://www.independent.co.uk/news/uk/home-news/foster-quits-over-cabinet-post-snub-1260125.html,
Blair,Chisholm,Scottish Office,10/12/1997,Welfare policy,Disagreement,http://news.bbc.co.uk/1/hi/uk/38656.stm,
Blair,Davies,Welsh Office,22/10/1998,Personal - 'moment of madness',Personal/other,http://news.bbc.co.uk/1/hi/uk_politics/204691.stm,Y
Blair,Mandelson,Trade and Industry,23/12/1998,Home loan,Personal/other,http://news.bbc.co.uk/1/hi/uk_politics/241464.stm,Y
Blair,Robinson,Paymaster General,23/12/1998,Home loan,Personal/other,http://news.bbc.co.uk/1/hi/uk_politics/241464.stm,
Blair,Hoyle,Lords Whip,09/04/1999,Appointment as Warrington Wolves chairman,Personal/other,https://www.lancashiretelegraph.co.uk/news/6127672.From_Lords_to_Rugby_League/,
Blair,Dewar,Scottish Office,17/05/1999,Became First Minister of Scotland,Personal/other,https://www.theguardian.com/news/2000/oct/12/guardianobituaries.labour,y
Blair,Michael,Welsh Office,27/07/1999,Became First Secretary of Wales,Personal/other,https://www.theguardian.com/politics/2000/feb/09/wales.devolution5,y
Blair,McFall,N Ireland Office,02/12/1999,Possibly to pursue new challenges,Personal/other,https://www.telegraph.co.uk/finance/economics/2821239/The-rise-of-John-McFall-credit-crisis-key-figure.html,
Blair,Dubs,N Ireland Office,31/12/1999,Unclear,Unclear,https://www.bbc.co.uk/news/uk-36140619,
Blair,Kilfoyle,Cabinet Office,30/01/2000,Not best use of energies/disillusionment,Disagreement,https://www.theguardian.com/politics/2000/jan/31/labour.labour1997to991,
Blair,Mandelson,N Ireland Office,24/01/2001,Involvement in passport application,Personal/other,https://www.theguardian.com/politics/2001/jan/24/labour.labour1997to99,Y
Blair,Morgan,Cabinet Office,09/11/2001,"Appointment as Director of Political and Government Relations, No 10",Personal/other,https://www.telegraph.co.uk/news/uknews/1362020/Baroness-is-named-as-Blairs-new-aide.html,
Blair,Byers,DTLR,28/05/2002,Distraction for government,Personal/other,https://www.theguardian.com/society/2002/may/28/localgovernment.transportintheuk,Y
Blair,Morris,Education and Skills,24/10/2002,Not effective as she wanted to be,Personal/other,https://www.theguardian.com/politics/2002/oct/23/labour.publicservices,Y
Blair,Cook,Commons Leader,17/03/2003,Iraq policy,Disagreement,https://www.theguardian.com/politics/2003/mar/17/labour.iraq1,Y
Blair,Lord Hunt,Health,18/03/2003,Iraq policy,Disagreement,https://www.digitalhealth.net/2003/03/lord-hunt-resigns-over-iraq/,
Blair,Denham,Home Office,18/03/2003,Iraq policy,Disagreement,http://news.bbc.co.uk/1/hi/england/2860675.stm,
Blair,Short,International Dev,12/05/2003,Iraq policy,Disagreement,https://www.theguardian.com/politics/2003/may/12/labour.voluntarysector,Y
Blair,Wills,Home Office,11/07/2003,European policy (to campaign against CAP),Personal/other,https://www.theguardian.com/politics/2003/jul/12/society.eu,
Blair,Hughes,Home Office,01/04/2004,Unwittingly' misleading during visa row,Accountability,http://news.bbc.co.uk/1/hi/uk_politics/3589131.stm,
Blair,Smith,Work and Pensions,08/09/2004,More time in constituency/with family,Personal/other,https://www.theguardian.com/politics/2004/sep/06/labour.economy,Y
Blair,Blunkett,Home Office,15/12/2004,Fast-track visa application row,Standards,https://www.theguardian.com/uk/2004/dec/15/davidblunkett.immigrationpolicy1,Y
Blair,Blunkett,Work and Pensions,02/11/2005,Failure to consult jobs watchdog,Standards,https://www.theguardian.com/society/2005/nov/02/money.davidblunkett,Y
Blair,Buck,Transport,16/03/2006,"Portfolio unsuited to interests, wanted to work on London Poverty Commission",Personal/other,https://www.theguardian.com/politics/2006/feb/25/uk.labour,
Blair,Watson,Defence,06/09/2006,Signed letter calling for resignation date,Disagreement,http://news.bbc.co.uk/1/hi/uk_politics/5320760.stm,
Blair,Sainsbury,Trade and Industry,10/11/2006,Personal reasons,Personal/other,http://news.bbc.co.uk/1/hi/uk_politics/6135666.stm,
Blair,Warner,Health,04/01/2007,Personal reasons,Personal/other,https://www.digitalhealth.net/2007/01/lord-hunt-returns-as-nhs-it-minister/,
Blair,Griffiths,Commons Dep Leader,11/03/2007,Trident policy,Disagreement,https://www.theguardian.com/politics/2007/mar/12/immigrationpolicy.military,
Brown,Truscott,Lords Whip,17/10/2007,Unclear,Unclear,,
Brown,Drayson,Defence/BERR,07/11/2007,To race at Le Mans,Personal/other,https://www.theguardian.com/politics/2007/nov/08/uk.topstories3,
Brown,Hain,Work and Pensions,24/01/2008,Campaign donations,Standards,http://news.bbc.co.uk/1/hi/uk_politics/7207346.stm,Y
Brown,McDonagh,Commons Whip,12/09/2008,Called for leadership contest,Disagreement,https://www.theguardian.com/politics/2008/sep/12/gordonbrown.labour,
Brown,Cairns,Scotland Office,16/09/2008,Called for leadership debate,Disagreement,https://www.telegraph.co.uk/news/politics/labour/2970274/David-Cairns-letter-of-resignation-to-Gordon-Brown-in-full.html,
Brown,Hughes,Education (DCSF),02/06/2009,Personal - 'family circumstances',Pre-announced,https://www.theguardian.com/society/2009/jun/02/beverley-hughes-resignation,Y
Brown,Smith,Home Office,02/06/2009,Personal - anticipating reshuffle,Pre-announced,https://www.theguardian.com/politics/2009/jun/02/darling-hoon-expenses-reshuffle,Y
Brown,Watson,Cabinet Office,02/06/2009,Personal - toll on family life,Pre-announced,https://www.theguardian.com/politics/2009/jun/02/tom-watson-step-down-controversies,
Brown,Purnell,Work and Pensions,04/06/2009,Loss of faith in PM,Disagreement,http://news.bbc.co.uk/2/hi/uk_news/politics/8084290.stm,Y
Brown,Blears,Communities/Local Gov,05/06/2009,Returning to the grassroots',Pre-announced,https://www.theguardian.com/politics/2009/jun/03/hazel-blears-resignation-statement,Y
Brown,Flint,Foreign Office,05/06/2009,Failure to have 'inclusive government',Disagreement,https://www.telegraph.co.uk/news/politics/5454526/Caroline-Flint-resignation-letter-in-full.html,Y
Brown,Kennedy,Defra,08/06/2009,Undermining of colleagues by Number 10,Disagreement,https://www.theguardian.com/politics/2009/jun/08/jane-kennedy-quits,
Brown,Ussher,Treasury,15/06/2009,Family reasons in aftermath of expenses row,Personal/other,https://www.telegraph.co.uk/news/newstopics/mps-expenses/labour-mps-expenses/5562961/MPs-expenses-Kitty-Usshers-resignation-letter.html,
Brown,Darzi,Health,21/07/2009,More time with family and in medicine,Personal/other,https://www.theguardian.com/politics/2009/jul/14/lord-ara-darzi-quit,
Brown,Carter,BIS/DCMS,21/07/2009,Digital Britain report completed,Personal/other,https://www.theguardian.com/media/2009/jun/12/lord-carter-step-down-summer,
Brown,Malloch-Brown,Foreign Office,24/07/2009,Personal and family reasons,Personal/other,http://news.bbc.co.uk/1/hi/uk_politics/8139632.stm,y
Brown,Vadera,Cabinet Office/BIS,28/09/2009,New role advising G20,Personal/other,http://news.bbc.co.uk/1/hi/uk_politics/8272623.stm,
Cameron,Laws,Treasury,29/05/2010,Expenses,Standards,https://www.bbc.co.uk/news/10191673,Y
Cameron,Fox,Defence,14/10/2011,Working relationship with friend,Standards,https://www.bbc.co.uk/news/uk-15311615; https://www.independent.co.uk/news/uk/home-news/liam-fox-breached-ministerial-code-2372167.html,Y
Cameron,Huhne,DECC,03/02/2012,To fight against speeding charges,Personal/other,https://www.bbc.co.uk/news/uk-politics-16870651,Y
Cameron,Mitchell,Commons Chief Whip,19/10/2012,Unable to fulfil duties given 'Plebgate',Personal/other,https://www.bbc.co.uk/news/uk-20012435,Y
Cameron,Strathclyde,Lords Leader,07/01/2013,Personal - life beyond politics,Personal/other,http://webarchive.nationalarchives.gov.uk/20130203145230/http://www.number10.gov.uk/wp-content/uploads/2013/01/Lord-Strathclyde-Resignation.pdf,Y
Cameron,Harper,Home Office,08/02/2014,Cleaner's right to work in the UK,Standards,https://www.bbc.co.uk/news/uk-politics-26102599,
Cameron,Miller,"Culture, Media and Sport",09/04/2014,Expenses,Standards,https://www.telegraph.co.uk/news/newstopics/mps-expenses/conservative-mps-expenses/10754033/Maria-Miller-resignation-letter-in-full.html,Y
Cameron,Warsi,FCO/DCLG,05/08/2014,Gaza policy,Disagreement,https://www.bbc.co.uk/news/uk-politics-28657623,Y
Cameron,Simmonds,FCO,11/8/2014,Personal,Pre-arranged,https://www.theguardian.com/politics/2014/aug/11/africa-minister-mark-simmonds-resigns,
